description,amount,category,date,transaction_type,account_name,month,source
Ajio clothing purchase - INR 21166 - Ref 210589,185.74,Office Supplies,,,,,indian
Home loan EMI - INR 6214 - Ref 392143,3777.25,Rent,,,,,indian
McDonald's meal payment - INR 49948 - Ref 564232,695.36,Miscellaneous,,,,,indian
Zomato food delivery - INR 40600 - Ref 122135,770.16,Miscellaneous,,,,,indian
Metro card recharge - INR 18018 - Ref 410876,852.34,Travel,,,,,indian
Education loan EMI - INR 32772 - Ref 858630,1100.04,Rent,,,,,indian
Share trading debit - INR 30389 - Ref 654362,980.47,Professional Fees,,,,,indian
eBay online order - INR 21353 - Ref 702335,238.32,Office Supplies,,,,,indian
Electronics purchase - INR 32009 - Ref 599131,437.32,Office Supplies,,,,,indian
Mutual fund SIP - INR 4080 - Ref 179513,1870.06,Professional Fees,,,,,indian
Shell,34.87,Travel,2018-01-11,debit,Platinum Card,2018-01,excel
Fixed deposit investment - INR 37243 - Ref 893903,2162.09,Professional Fees,,,,,indian
Airport taxi fare - INR 26087 - Ref 343068,605.86,Travel,,,,,indian
Flipkart purchase - INR 4612 - Ref 365089,242.17,Office Supplies,,,,,indian
Share trading debit - INR 39258 - Ref 813790,910.14,Professional Fees,,,,,indian
Flipkart purchase - INR 15313 - Ref 214370,58.3,Office Supplies,,,,,indian
Bus ticket purchase - INR 12862 - Ref 507523,1455.98,Travel,,,,,indian
Dominos pizza order - INR 4036 - Ref 123389,457.72,Miscellaneous,,,,,indian
Lifestyle store purchase - INR 24936 - Ref 628327,156.83,Office Supplies,,,,,indian
Cafe coffee purchase - INR 47609 - Ref 393697,133.67,Miscellaneous,,,,,indian
KFC online order - INR 6897 - Ref 997315,968.43,Miscellaneous,,,,,indian
Consumer durable EMI - INR 49071 - Ref 411628,1930.7,Rent,,,,,indian
Personal loan EMI - INR 31232 - Ref 768489,2732.1,Rent,,,,,indian
Myntra fashion order - INR 7320 - Ref 122242,45.56,Office Supplies,,,,,indian
Bus ticket purchase - INR 6669 - Ref 806807,1295.37,Travel,,,,,indian
Airport taxi fare - INR 3902 - Ref 314660,1360.39,Travel,,,,,indian
Education loan EMI - INR 17498 - Ref 480386,1150.95,Rent,,,,,indian
Zomato food delivery - INR 30237 - Ref 563093,191.84,Miscellaneous,,,,,indian
KFC online order - INR 46393 - Ref 302037,395.14,Miscellaneous,,,,,indian
Airport taxi fare - INR 22519 - Ref 186398,361.34,Travel,,,,,indian
ETF purchase - INR 42709 - Ref 400122,1679.64,Professional Fees,,,,,indian
Flight ticket booking - INR 7098 - Ref 330570,1715.25,Travel,,,,,indian
KFC online order - INR 25925 - Ref 910251,867.0,Miscellaneous,,,,,indian
Lifestyle store purchase - INR 41191 - Ref 678897,332.44,Office Supplies,,,,,indian
Ola cab booking - INR 29760 - Ref 882491,1233.07,Travel,,,,,indian
Flipkart purchase - INR 30680 - Ref 718629,52.03,Office Supplies,,,,,indian
Airport taxi fare - INR 21764 - Ref 775948,1192.62,Travel,,,,,indian
Consumer durable EMI - INR 44057 - Ref 767368,4317.84,Rent,,,,,indian
Amazon online shopping - INR 47423 - Ref 946180,422.74,Office Supplies,,,,,indian
Grocery food items - INR 22237 - Ref 104525,654.69,Miscellaneous,,,,,indian
Retirement fund investment - INR 48595 - Ref 448424,1043.34,Professional Fees,,,,,indian
Grocery food items - INR 26827 - Ref 159438,524.43,Miscellaneous,,,,,indian
Ola cab booking - INR 44549 - Ref 729364,2469.4,Travel,,,,,indian
Ola cab booking - INR 17862 - Ref 550665,1559.53,Travel,,,,,indian
MakeMyTrip travel booking - INR 9009 - Ref 988459,638.44,Travel,,,,,indian
American Tavern,64.11,Miscellaneous,2018-01-15,debit,Silver Card,2018-01,excel
IRCTC train ticket - INR 31054 - Ref 407201,1694.15,Travel,,,,,indian
Rapido bike ride - INR 179 - Ref 492647,91.53,Travel,,,,,indian
Swiggy order payment - INR 17440 - Ref 450338,718.08,Miscellaneous,,,,,indian
Uber ride payment - INR 12835 - Ref 481488,1993.26,Travel,,,,,indian
Zomato food delivery - INR 18207 - Ref 208089,221.44,Miscellaneous,,,,,indian
Electronics purchase - INR 15576 - Ref 371280,204.18,Office Supplies,,,,,indian
Mobile EMI payment - INR 40296 - Ref 532805,2771.84,Rent,,,,,indian
Hotel stay booking - INR 12276 - Ref 423152,300.15,Travel,,,,,indian
Amazon online shopping - INR 16749 - Ref 369365,402.09,Office Supplies,,,,,indian
Laptop EMI payment - INR 21874 - Ref 333236,1926.68,Rent,,,,,indian
Amazon online shopping - INR 23485 - Ref 649771,352.79,Office Supplies,,,,,indian
McDonald's meal payment - INR 5450 - Ref 241864,707.47,Miscellaneous,,,,,indian
Metro card recharge - INR 374 - Ref 101725,1537.12,Travel,,,,,indian
Zomato food delivery - INR 38888 - Ref 153229,290.74,Miscellaneous,,,,,indian
Demat account transfer - INR 11531 - Ref 878558,732.64,Professional Fees,,,,,indian
Appliance EMI - INR 37958 - Ref 421256,2089.39,Rent,,,,,indian
Zomato food delivery - INR 39172 - Ref 432025,281.53,Miscellaneous,,,,,indian
Appliance EMI - INR 40422 - Ref 798384,1157.78,Rent,,,,,indian
Ajio clothing purchase - INR 27646 - Ref 921660,358.19,Office Supplies,,,,,indian
Mobile EMI payment - INR 32711 - Ref 980728,2298.05,Rent,,,,,indian
Myntra fashion order - INR 47799 - Ref 194615,461.79,Office Supplies,,,,,indian
Car loan EMI - INR 5497 - Ref 448247,2443.32,Rent,,,,,indian
Hotel dinner bill - INR 13391 - Ref 705536,480.1,Miscellaneous,,,,,indian
Grocery Store,46.01,Office Supplies,2018-06-10,debit,Platinum Card,2018-06,excel
Hotel dinner bill - INR 43111 - Ref 810895,407.68,Miscellaneous,,,,,indian
Mutual fund SIP - INR 2604 - Ref 243189,418.22,Professional Fees,,,,,indian
McDonald's meal payment - INR 28904 - Ref 164962,278.08,Miscellaneous,,,,,indian
Myntra fashion order - INR 5699 - Ref 938287,308.2,Office Supplies,,,,,indian
Hotel stay booking - INR 14341 - Ref 942494,1939.75,Travel,,,,,indian
Electronics purchase - INR 16603 - Ref 828333,23.9,Office Supplies,,,,,indian
Car loan EMI - INR 1101 - Ref 470239,1409.71,Rent,,,,,indian
Car loan EMI - INR 10374 - Ref 465677,3154.47,Rent,,,,,indian
Flipkart purchase - INR 9643 - Ref 143360,227.29,Office Supplies,,,,,indian
Demat account transfer - INR 45888 - Ref 914028,3585.09,Professional Fees,,,,,indian
McDonald's meal payment - INR 2161 - Ref 853878,599.15,Miscellaneous,,,,,indian
Hotel stay booking - INR 7996 - Ref 620651,1580.17,Travel,,,,,indian
Ola cab booking - INR 25476 - Ref 386981,1299.55,Travel,,,,,indian
Personal loan EMI - INR 4122 - Ref 359309,4989.7,Rent,,,,,indian
Flipkart purchase - INR 25579 - Ref 808808,408.55,Office Supplies,,,,,indian
Credit card EMI - INR 34959 - Ref 707968,3255.4,Rent,,,,,indian
Retirement fund investment - INR 36936 - Ref 366236,4560.55,Professional Fees,,,,,indian
Amazon online shopping - INR 46856 - Ref 813110,196.2,Office Supplies,,,,,indian
Credit card EMI - INR 41069 - Ref 489286,4912.93,Rent,,,,,indian
Stock market investment - INR 8233 - Ref 777289,3273.4,Professional Fees,,,,,indian
Fixed deposit investment - INR 14022 - Ref 809169,3795.01,Professional Fees,,,,,indian
KFC online order - INR 24320 - Ref 190775,752.86,Miscellaneous,,,,,indian
Lifestyle store purchase - INR 14596 - Ref 112880,417.78,Office Supplies,,,,,indian
Cafe coffee purchase - INR 41740 - Ref 548650,519.34,Miscellaneous,,,,,indian
QuikTrip,38.94,Travel,2019-04-13,debit,Platinum Card,2019-04,excel
Metro card recharge - INR 49156 - Ref 755763,2212.18,Travel,,,,,indian
KFC online order - INR 4499 - Ref 431170,31.72,Miscellaneous,,,,,indian
McDonald's meal payment - INR 13483 - Ref 380009,423.79,Miscellaneous,,,,,indian
Retail store shopping - INR 16350 - Ref 144263,247.12,Office Supplies,,,,,indian
Metro card recharge - INR 7414 - Ref 281229,2948.57,Travel,,,,,indian
Mobile EMI payment - INR 3319 - Ref 641661,4488.67,Rent,,,,,indian
MakeMyTrip travel booking - INR 28082 - Ref 701070,1500.28,Travel,,,,,indian
Restaurant dine-in bill - INR 1755 - Ref 467054,198.32,Miscellaneous,,,,,indian
KFC online order - INR 17981 - Ref 520889,984.48,Miscellaneous,,,,,indian
Bus ticket purchase - INR 6563 - Ref 607393,1812.54,Travel,,,,,indian
Laptop EMI payment - INR 20251 - Ref 179141,1804.6,Rent,,,,,indian
Home loan EMI - INR 19131 - Ref 125776,4013.9,Rent,,,,,indian
Ola cab booking - INR 23433 - Ref 411807,2732.69,Travel,,,,,indian
Hardware Store,66.75,Office Supplies,2019-08-26,debit,Silver Card,2019-08,excel
Myntra fashion order - INR 38953 - Ref 600045,487.63,Office Supplies,,,,,indian
Gold bond investment - INR 6302 - Ref 206931,4620.01,Professional Fees,,,,,indian
Credit card EMI - INR 12851 - Ref 226104,1038.89,Rent,,,,,indian
Amazon,47.66,Office Supplies,2019-09-15,debit,Platinum Card,2019-09,excel
Mobile EMI payment - INR 45866 - Ref 955127,3557.71,Rent,,,,,indian
Flipkart purchase - INR 26960 - Ref 344030,24.0,Office Supplies,,,,,indian
Myntra fashion order - INR 26644 - Ref 766842,148.86,Office Supplies,,,,,indian
Amazon online shopping - INR 22877 - Ref 697884,342.94,Office Supplies,,,,,indian
Stock market investment - INR 10762 - Ref 975923,4365.59,Professional Fees,,,,,indian
MakeMyTrip travel booking - INR 39776 - Ref 277087,1838.47,Travel,,,,,indian
Hotel stay booking - INR 5598 - Ref 286253,2574.38,Travel,,,,,indian
Mall shopping payment - INR 19064 - Ref 904957,95.39,Office Supplies,,,,,indian
Share trading debit - INR 20923 - Ref 961833,4952.15,Professional Fees,,,,,indian
Ola cab booking - INR 27994 - Ref 351404,1630.12,Travel,,,,,indian
Ola cab booking - INR 47551 - Ref 555455,2645.16,Travel,,,,,indian
Gas Company,65.0,Utilities,2018-02-07,debit,Checking,2018-02,excel
Ola cab booking - INR 28255 - Ref 162996,1271.42,Travel,,,,,indian
Ola cab booking - INR 3931 - Ref 410311,2269.36,Travel,,,,,indian
Shell,33.3,Travel,2018-05-12,debit,Platinum Card,2018-05,excel
ETF purchase - INR 12979 - Ref 753285,4498.41,Professional Fees,,,,,indian
Consumer durable EMI - INR 37702 - Ref 983334,4431.43,Rent,,,,,indian
Grocery Store,7.61,Office Supplies,2018-07-28,debit,Silver Card,2018-07,excel
Lifestyle store purchase - INR 23561 - Ref 111287,225.06,Office Supplies,,,,,indian
Ola cab booking - INR 29965 - Ref 434054,782.25,Travel,,,,,indian
Bus ticket purchase - INR 37554 - Ref 225541,2665.63,Travel,,,,,indian
Bakery purchase - INR 31006 - Ref 158288,658.72,Miscellaneous,,,,,indian
Rapido bike ride - INR 39208 - Ref 973614,2231.5,Travel,,,,,indian
IRCTC train ticket - INR 14233 - Ref 634473,238.32,Travel,,,,,indian
Laptop EMI payment - INR 7000 - Ref 665824,2655.96,Rent,,,,,indian
Car loan EMI - INR 10830 - Ref 318424,4829.27,Rent,,,,,indian
Supermarket shopping - INR 46437 - Ref 573051,24.64,Office Supplies,,,,,indian
Retirement fund investment - INR 21582 - Ref 943569,2859.93,Professional Fees,,,,,indian
Home loan EMI - INR 1286 - Ref 262528,1004.35,Rent,,,,,indian
Stock market investment - INR 33769 - Ref 886141,4871.1,Professional Fees,,,,,indian
Brewing Company,14.0,Miscellaneous,2018-02-14,debit,Silver Card,2018-02,excel
ETF purchase - INR 2374 - Ref 932017,4682.09,Professional Fees,,,,,indian
Mobile EMI payment - INR 16992 - Ref 968433,3039.81,Rent,,,,,indian
Restaurant dine-in bill - INR 31273 - Ref 557233,717.17,Miscellaneous,,,,,indian
Chick-Fil-A,13.67,Miscellaneous,2018-08-11,debit,Platinum Card,2018-08,excel
Laptop EMI payment - INR 12969 - Ref 549893,2423.24,Rent,,,,,indian
Hotel dinner bill - INR 32635 - Ref 855882,256.01,Miscellaneous,,,,,indian
Mobile EMI payment - INR 6972 - Ref 639967,1385.19,Rent,,,,,indian
Credit Card Payment,554.99,Professional Fees,2018-01-22,credit,Platinum Card,2018-01,excel
Ajio clothing purchase - INR 32640 - Ref 480999,154.57,Office Supplies,,,,,indian
Laptop EMI payment - INR 8641 - Ref 466546,3455.86,Rent,,,,,indian
Hotel dinner bill - INR 21891 - Ref 223689,258.0,Miscellaneous,,,,,indian
Mall shopping payment - INR 18574 - Ref 249067,488.41,Office Supplies,,,,,indian
Ajio clothing purchase - INR 35882 - Ref 161732,30.42,Office Supplies,,,,,indian
Myntra fashion order - INR 5180 - Ref 164490,276.87,Office Supplies,,,,,indian
NPS contribution - INR 27246 - Ref 490781,1900.58,Professional Fees,,,,,indian
Rapido bike ride - INR 14698 - Ref 281386,599.29,Travel,,,,,indian
Cafe coffee purchase - INR 39025 - Ref 484453,166.23,Miscellaneous,,,,,indian
Retail store shopping - INR 13097 - Ref 758238,319.07,Office Supplies,,,,,indian
Ola cab booking - INR 15905 - Ref 920164,677.58,Travel,,,,,indian
ETF purchase - INR 33692 - Ref 557894,3486.15,Professional Fees,,,,,indian
Credit card EMI - INR 25979 - Ref 577743,4816.32,Rent,,,,,indian
Gold bond investment - INR 30239 - Ref 894410,3853.07,Professional Fees,,,,,indian
Electronics purchase - INR 16999 - Ref 515488,187.8,Office Supplies,,,,,indian
Credit card EMI - INR 23829 - Ref 860386,2193.45,Rent,,,,,indian
Car loan EMI - INR 14452 - Ref 459145,1714.61,Rent,,,,,indian
Fixed deposit investment - INR 16859 - Ref 243640,2588.11,Professional Fees,,,,,indian
Restaurant dine-in bill - INR 45036 - Ref 131272,257.58,Miscellaneous,,,,,indian
Mall shopping payment - INR 5535 - Ref 556537,341.09,Office Supplies,,,,,indian
Amazon online shopping - INR 4181 - Ref 841517,356.62,Office Supplies,,,,,indian
Education loan EMI - INR 33513 - Ref 432364,4381.68,Rent,,,,,indian
Credit card EMI - INR 7797 - Ref 764433,1289.54,Rent,,,,,indian
Retail store shopping - INR 27431 - Ref 345301,398.99,Office Supplies,,,,,indian
Flight ticket booking - INR 3044 - Ref 289639,2864.76,Travel,,,,,indian
Amazon online shopping - INR 29943 - Ref 892289,320.03,Office Supplies,,,,,indian
Airport taxi fare - INR 3731 - Ref 224205,313.4,Travel,,,,,indian
Rapido bike ride - INR 39214 - Ref 855380,2614.95,Travel,,,,,indian
Demat account transfer - INR 18048 - Ref 572216,3815.8,Professional Fees,,,,,indian
Gold bond investment - INR 5234 - Ref 396388,377.8,Professional Fees,,,,,indian
Grocery Store,35.95,Office Supplies,2018-02-20,debit,Silver Card,2018-02,excel
Appliance EMI - INR 8062 - Ref 657713,1320.26,Rent,,,,,indian
Ajio clothing purchase - INR 20350 - Ref 669668,171.05,Office Supplies,,,,,indian
Hotel stay booking - INR 25143 - Ref 792435,241.57,Travel,,,,,indian
Cafe coffee purchase - INR 3139 - Ref 599962,258.7,Miscellaneous,,,,,indian
Fixed deposit investment - INR 33710 - Ref 223332,397.67,Professional Fees,,,,,indian
Metro card recharge - INR 33041 - Ref 417587,1781.66,Travel,,,,,indian
Gold bond investment - INR 45393 - Ref 745626,3711.28,Professional Fees,,,,,indian
Lifestyle store purchase - INR 44234 - Ref 326927,317.92,Office Supplies,,,,,indian
Electronics purchase - INR 28903 - Ref 311349,21.59,Office Supplies,,,,,indian
Electronics purchase - INR 2541 - Ref 351819,178.65,Office Supplies,,,,,indian
Grocery Store,148.15,Office Supplies,2018-12-03,debit,Silver Card,2018-12,excel
Zomato food delivery - INR 303 - Ref 977599,558.81,Miscellaneous,,,,,indian
Rapido bike ride - INR 19177 - Ref 179966,1071.95,Travel,,,,,indian
Share trading debit - INR 27442 - Ref 382557,1464.27,Professional Fees,,,,,indian
McDonald's meal payment - INR 47102 - Ref 598515,206.77,Miscellaneous,,,,,indian
Flight ticket booking - INR 28131 - Ref 816412,2421.53,Travel,,,,,indian
Ajio clothing purchase - INR 19018 - Ref 273988,113.56,Office Supplies,,,,,indian
Grocery food items - INR 28458 - Ref 720071,898.6,Miscellaneous,,,,,indian
Flipkart purchase - INR 11308 - Ref 642345,388.41,Office Supplies,,,,,indian
Hotel dinner bill - INR 34495 - Ref 560566,309.76,Miscellaneous,,,,,indian
Education loan EMI - INR 15833 - Ref 101083,3380.14,Rent,,,,,indian
Lifestyle store purchase - INR 20180 - Ref 971472,172.01,Office Supplies,,,,,indian
Flipkart purchase - INR 15630 - Ref 633420,409.52,Office Supplies,,,,,indian
Dominos pizza order - INR 20213 - Ref 813956,499.43,Miscellaneous,,,,,indian
Ola cab booking - INR 13226 - Ref 436816,2451.05,Travel,,,,,indian
PPF contribution - INR 40267 - Ref 970577,1205.63,Professional Fees,,,,,indian
Bakery purchase - INR 38602 - Ref 343234,46.43,Miscellaneous,,,,,indian
Consumer durable EMI - INR 18525 - Ref 843364,3177.4,Rent,,,,,indian
Flipkart purchase - INR 29314 - Ref 426412,176.02,Office Supplies,,,,,indian
Amazon online shopping - INR 7615 - Ref 816214,432.98,Office Supplies,,,,,indian
Education loan EMI - INR 12101 - Ref 313102,2975.65,Rent,,,,,indian
Demat account transfer - INR 15917 - Ref 627022,1709.62,Professional Fees,,,,,indian
Share trading debit - INR 40882 - Ref 543662,843.65,Professional Fees,,,,,indian
Grocery food items - INR 20355 - Ref 728833,543.26,Miscellaneous,,,,,indian
McDonald's meal payment - INR 20990 - Ref 253203,687.43,Miscellaneous,,,,,indian
Supermarket shopping - INR 20432 - Ref 427480,103.78,Office Supplies,,,,,indian
Supermarket shopping - INR 15090 - Ref 139082,354.58,Office Supplies,,,,,indian
Grocery food items - INR 28462 - Ref 596467,948.04,Miscellaneous,,,,,indian
Personal loan EMI - INR 21885 - Ref 303407,2936.97,Rent,,,,,indian
Brewing Company,20.0,Miscellaneous,2018-11-19,debit,Silver Card,2018-11,excel
Flight ticket booking - INR 49685 - Ref 488178,2133.94,Travel,,,,,indian
Credit Card Payment,549.72,Professional Fees,2019-07-09,credit,Platinum Card,2019-07,excel
Electronics purchase - INR 49313 - Ref 844484,149.21,Office Supplies,,,,,indian
Flipkart purchase - INR 3918 - Ref 116866,255.17,Office Supplies,,,,,indian
KFC online order - INR 2001 - Ref 776787,864.77,Miscellaneous,,,,,indian
Credit Card Payment,600.51,Professional Fees,2019-04-01,credit,Platinum Card,2019-04,excel
Uber ride payment - INR 12966 - Ref 735040,1064.35,Travel,,,,,indian
Metro card recharge - INR 48060 - Ref 139098,884.38,Travel,,,,,indian
Grocery Store,87.14,Office Supplies,2019-07-15,debit,Silver Card,2019-07,excel
Share trading debit - INR 13794 - Ref 799363,4333.26,Professional Fees,,,,,indian
Cafe coffee purchase - INR 41127 - Ref 376173,156.1,Miscellaneous,,,,,indian
Hotel dinner bill - INR 45630 - Ref 529051,222.73,Miscellaneous,,,,,indian
Retirement fund investment - INR 23150 - Ref 472321,1903.06,Professional Fees,,,,,indian
Fancy Restaurant,98.19,Miscellaneous,2019-05-13,debit,Silver Card,2019-05,excel
Retail store shopping - INR 6446 - Ref 665907,223.67,Office Supplies,,,,,indian
McDonald's meal payment - INR 36169 - Ref 603748,380.21,Miscellaneous,,,,,indian
Demat account transfer - INR 39111 - Ref 777092,4122.12,Professional Fees,,,,,indian
Swiggy order payment - INR 38366 - Ref 105602,389.15,Miscellaneous,,,,,indian
Personal loan EMI - INR 10744 - Ref 930717,1195.68,Rent,,,,,indian
Mutual fund SIP - INR 13905 - Ref 313917,2105.66,Professional Fees,,,,,indian
Bakery purchase - INR 18598 - Ref 748674,702.93,Miscellaneous,,,,,indian
Hotel dinner bill - INR 35642 - Ref 178337,872.72,Miscellaneous,,,,,indian
Amazon online shopping - INR 27559 - Ref 899357,451.51,Office Supplies,,,,,indian
Grocery food items - INR 7678 - Ref 613613,997.59,Miscellaneous,,,,,indian
Lifestyle store purchase - INR 26966 - Ref 306367,105.56,Office Supplies,,,,,indian
ETF purchase - INR 26501 - Ref 370135,412.81,Professional Fees,,,,,indian
